	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
103	C:\IG\IG\PRE\FE.frm	Form_Load	14	0	0	0.00%	0	0.00%	Txs(3, I) = 0	
104	C:\IG\IG\PRE\FE.frm	DiMalla	16	0	0	0.00%	0	0.00%	Case 3	
105	C:\IG\IG\PRE\FE.frm	DiMalla	2	0	0	0.00%	0	0.00%	Picture1.Cls	
106	C:\IG\IG\PRE\FE.frm	DiMalla	18	0	0	0.00%	0	0.00%	Case 4	
107	C:\IG\IG\PRE\FE.frm	DiMalla	19	0	0	0.00%	0	0.00%	Picture1.Line (XU(L1), YV(M1))-(XU(L1), YV(2)), vbCyan	
108	C:\IG\IG\PRE\FE.frm	Form_Load	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
109	C:\IG\IG\PRE\FE.frm	Form_Load	2	0	0	0.00%	0	0.00%	Combo1.Clear	
110	C:\IG\IG\PRE\FE.frm	Form_Load	3	0	0	0.00%	0	0.00%	For I = 1 To Ndxi	
111	C:\IG\IG\PRE\FE.frm	Form_Load	4	0	0	0.00%	0	0.00%	Txi(1, I) = 0	
112	C:\IG\IG\PRE\FE.frm	Form_Load	5	0	0	0.00%	0	0.00%	Txi(2, I) = 0	
113	C:\IG\IG\PRE\FE.frm	Form_Load	6	0	0	0.00%	0	0.00%	Txi(3, I) = 0	
114	C:\IG\IG\PRE\FE.frm	Form_Load	7	0	0	0.00%	0	0.00%	For I = 1 To Ndyi	
115	C:\IG\IG\PRE\FE.frm	Form_Load	8	0	0	0.00%	0	0.00%	Tyi(1, I) = 0	
116	C:\IG\IG\PRE\FE.frm	Form_Load	9	0	0	0.00%	0	0.00%	Tyi(2, I) = 0	
117	C:\IG\IG\PRE\FE.frm	Form_Load	10	0	0	0.00%	0	0.00%	Tyi(3, I) = 0	
118	C:\IG\IG\PRE\FE.frm	Form_Load	11	0	0	0.00%	0	0.00%	For I = 1 To Ndxs	
119	C:\IG\IG\PRE\FE.frm	DiMalla	15	0	0	0.00%	0	0.00%	Picture1.Line (XU(2), YV(2))-(XU(2), YV(M1)), vbCyan	
120	C:\IG\IG\PRE\FBorrar.frm	DiSolido	6	0	0	0.00%	0	0.00%	Picture1.CurrentY = S(1, K) / 2 + S(3, K) / 2	
121	C:\IG\IG\PRE\FBorrar.frm	Text1_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
122	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	3	0	0	0.00%	0	0.00%	Label7 = "Xmax= " & Xl & Chr$(13) & " Ymax= " & Yl	
123	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	4	0	0	0.00%	0	0.00%	CEscala	
124	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	5	0	0	0.00%	0	0.00%	DiDominio	
125	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	6	0	0	0.00%	0	0.00%	DiSolido	
126	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	7	0	0	0.00%	0	0.00%	VScroll1.Max = Ns	
127	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	8	0	0	0.00%	0	0.00%	VScroll1.Min = 0	
128	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	9	0	0	0.00%	0	0.00%	VScroll1.Value = 0	
129	C:\IG\IG\PRE\FBorrar.frm	Form_Activate	10	0	0	0.00%	0	0.00%	Text2 = "No hay Solido seleccionado"	
130	C:\IG\IG\PRE\FBorrar.frm	DiSolido	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
131	C:\IG\IG\PRE\FBorrar.frm	DiSolido	2	0	0	0.00%	0	0.00%	If Ns > 0 Then	
132	C:\IG\IG\PRE\FBorrar.frm	DiSolido	3	0	0	0.00%	0	0.00%	For K = 1 To Ns	
133	C:\IG\IG\PRE\FTfE.frm	CEscala	2	0	0	0.00%	0	0.00%	Mediaescala = (EscalaXY * 1.1) / 2	
134	C:\IG\IG\PRE\FBorrar.frm	DiSolido	5	0	0	0.00%	0	0.00%	Picture1.CurrentX = S(0, K) / 2 + S(2, K) / 2	
135	C:\IG\IG\PRE\FTfE.frm	CEscala	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
136	C:\IG\IG\PRE\FBorrar.frm	DiSolido	7	0	0	0.00%	0	0.00%	Picture1.Print K	
137	C:\IG\IG\PRE\FBorrar.frm	CEscala	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
138	C:\IG\IG\PRE\FBorrar.frm	CEscala	2	0	0	0.00%	0	0.00%	EscalaXY = Xl	
139	C:\IG\IG\PRE\FBorrar.frm	CEscala	3	0	0	0.00%	0	0.00%	If Yl > Xl Then	
140	C:\IG\IG\PRE\FBorrar.frm	CEscala	4	0	0	0.00%	0	0.00%	EscalaXY = Yl	
141	C:\IG\IG\PRE\FBorrar.frm	CEscala	5	0	0	0.00%	0	0.00%	Mediaescala = (EscalaXY * 1.1) / 2	
142	C:\IG\IG\PRE\FBorrar.frm	CEscala	6	0	0	0.00%	0	0.00%	.ScaleHeight = -2 * Mediaescala	
143	C:\IG\IG\PRE\FBorrar.frm	CEscala	7	0	0	0.00%	0	0.00%	.ScaleWidth = 2 * Mediaescala	
144	C:\IG\IG\PRE\FBorrar.frm	CEscala	8	0	0	0.00%	0	0.00%	.ScaleLeft = -Mediaescala + Xl / 2	
145	C:\IG\IG\PRE\FBorrar.frm	CEscala	9	0	0	0.00%	0	0.00%	.ScaleTop = Yl / 2 + Mediaescala	
146	C:\IG\IG\PRE\FBorrar.frm	DiDominio	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
